Time: 17.9158s, Score: 6
Time: 15.5308s, Score: 5
Time: 2.87703s, Score: 0
Time: 12.4835s, Score: 0
Time: 5.30997s, Score: 0
Time: 18.7929s, Score: 100
Time: 15.0267s, Score: 106
Time: 21.7818s, Score: 14
Time: 122.024s, Score: 406
Time: 71.567s, Score: 117
Time: 21.3796s, Score: 9
Time: 23.7825s, Score: 10
Time: 24.7844s, Score: 225
Time: 60.0739s, Score: 121
Time: 147.435s, Score: 229
Time: 3.55356s, Score: 0
Time: 22.8212s, Score: 101
Time: 18.785s, Score: 101
Time: 4.31811s, Score: 0
Time: 48.1267s, Score: 12
Time: 22.5276s, Score: 13
Time: 15.4946s, Score: 5
Time: 31.8972s, Score: 10
Time: 52.8006s, Score: 11
Time: 28.4391s, Score: 3
Time: 36.3876s, Score: 10
